wk_ending,state,deaths_st,cases_st,pop_st,deaths_pc_st,cases_pc_st,st_code,wk_tests,tests_pc,cum_all_doses,cum_1st_doses,wk_all_doses,wk_1st_doses,curr_date
2021-03-02,Virginia,956,66825,63226,0.015120361876443235,0.015120361876443235,VA,41111234,4.765851283472116,2136926,1367037,370999,169883,NA
2021-03-02,Washington,1397,84326,185729,0.007521711741300497,0.007521711741300497,WA,36468898,4.677238716958869,1800030,1162447,306458,128896,NA
2021-03-02,West Virginia,285,12134,31441,0.009064597182023473,0.009064597182023473,WV,15156979,8.524399489333941,534053,323332,63410,29441,NA
2021-03-02,Wisconsin,1282,107203,78681,0.016293641412793432,0.016293641412793432,WI,48077164,8.21586089631307,1500923,969437,241276,99601,NA
2021-03-02,Wyoming,132,8215,23150,0.0057019438444924405,0.0057019438444924405,WY,4455586,7.85782990167982,156741,100903,20578,8752,NA
2021-03-09,Alabama,1407,72170,71060,0.0198001688713763,0.0198001688713763,AL,16232414,3.3069200712216467,1168845,714775,168232,76786,NA
2021-03-09,Alaska,162,27123,22454,0.007214750155874232,0.007214750155874232,AK,12136069,16.534108898885833,298144,181822,29738,14063,NA
2021-03-09,Arizona,9316,517132,428159,0.021758272043796816,0.021758272043796816,AZ,54987544,7.45241153677785,2215219,1450240,365960,175172,NA
2021-03-09,Arkansas,579,37685,39192,0.014773423147581139,0.014773423147581139,AR,19109562,6.288108588351432,782750,501653,121178,77119,NA
2021-03-09,California,22104,1205327,658537,0.033565312199618245,0.033565312199618245,CA,346691408,8.680849026604069,10925581,7400238,1819504,1095520,NA
2021-03-09,Colorado,767,60810,87253,0.008790528692423184,0.008790528692423184,CO,44584778,7.627157503254623,1667075,1054537,254165,129471,NA
2021-03-09,Connecticut,2308,82621,356528,0.006473544854822062,0.006473544854822062,CT,45678754,12.820019196874615,1228865,887819,197560,172363,NA
2021-03-09,Delaware,732,50844,194752,0.003758626355570161,0.003758626355570161,DE,9981759,10.155468285015186,285101,176225,59727,27734,NA
2021-03-09,District of Columbia,1036,41910,235249,0.004403844437170828,0.004403844437170828,DC,8783956,12.446288978092777,232666,147237,34619,18080,NA
2021-03-09,Florida,5612,421433,311271,0.01802930565327319,0.01802930565327319,FL,135903402,6.17939353430637,5961421,3787581,913461,561608,NA
2021-03-09,Georgia,1171,94044,65946,0.017756952658235525,0.017756952658235525,GA,51310443,4.779244138933132,2391999,1436091,319371,153892,NA
2021-03-09,Hawaii,353,22403,202267,0.0017452179544859023,0.0017452179544859023,HI,7978409,5.647671463661525,452988,278772,63344,29887,NA
2021-03-09,Idaho,440,47416,38849,0.011325902854642333,0.011325902854642333,ID,4519517,2.474874600254085,489220,304032,84970,43752,NA
2021-03-09,Illinois,9457,479913,121844,0.07761563967039821,0.07761563967039821,IL,129823265,10.254845296492018,3601065,2414809,694510,386642,NA
2021-03-09,Indiana,1661,91481,71619,0.02319216967564473,0.02319216967564473,IN,57383383,8.507102374228172,1879649,1151913,264500,135750,NA
2021-03-09,Iowa,564,52400,31238,0.018054933094308213,0.018054933094308213,IA,9276612,2.9173111939242418,952377,653454,217532,110427,NA
2021-03-09,Kansas,752,54889,27227,0.027619642266867448,0.027619642266867448,KS,8890893,3.054911763493176,751652,521147,130713,104036,NA
